 &plot nbnd=   3, nks=   474 /
            0.000000  0.000000  0.000000
   -4.864   -2.578   -2.578
            0.000000  0.003337  0.000000
   -4.864   -2.578   -2.579
            0.000000  0.006675  0.000000
   -4.865   -2.579   -2.579
            0.000000  0.010012  0.000000
   -4.865   -2.579   -2.580
            0.000000  0.013349  0.000000
   -4.866   -2.580   -2.582
            0.000000  0.016686  0.000000
   -4.867   -2.580   -2.584
            0.000000  0.020024  0.000000
   -4.868   -2.581   -2.587
            0.000000  0.023361  0.000000
   -4.870   -2.582   -2.589
            0.000000  0.026698  0.000000
   -4.872   -2.584   -2.593
            0.000000  0.030036  0.000000
   -4.874   -2.585   -2.597
            0.000000  0.033373  0.000000
   -4.876   -2.586   -2.601
            0.000000  0.036710  0.000000
   -4.878   -2.588   -2.605
            0.000000  0.040047  0.000000
   -4.881   -2.590   -2.610
            0.000000  0.043385  0.000000
   -4.884   -2.592   -2.616
            0.000000  0.046722  0.000000
   -4.887   -2.594   -2.621
            0.000000  0.050059  0.000000
   -4.891   -2.596   -2.627
            0.000000  0.053397  0.000000
   -4.894   -2.599   -2.634
            0.000000  0.056734  0.000000
   -4.899   -2.601   -2.640
            0.000000  0.060071  0.000000
   -4.903   -2.604   -2.647
            0.000000  0.063408  0.000000
   -4.907   -2.607   -2.654
            0.000000  0.066746  0.000000
   -4.912   -2.610   -2.662
            0.000000  0.070083  0.000000
   -4.917   -2.613   -2.669
            0.000000  0.073420  0.000000
   -4.923   -2.616   -2.677
            0.000000  0.076758  0.000000
   -4.928   -2.619   -2.685
            0.000000  0.080095  0.000000
   -4.935   -2.623   -2.693
            0.000000  0.083432  0.000000
   -4.941   -2.626   -2.701
            0.000000  0.086769  0.000000
   -4.947   -2.630   -2.709
            0.000000  0.090107  0.000000
   -4.954   -2.634   -2.717
            0.000000  0.093444  0.000000
   -4.962   -2.638   -2.726
            0.000000  0.096781  0.000000
   -4.969   -2.641   -2.734
            0.000000  0.100119  0.000000
   -4.977   -2.645   -2.742
            0.000000  0.103456  0.000000
   -4.986   -2.649   -2.751
            0.000000  0.106793  0.000000
   -4.994   -2.654   -2.759
            0.000000  0.110130  0.000000
   -5.003   -2.658   -2.767
            0.000000  0.113468  0.000000
   -5.013   -2.662   -2.775
            0.000000  0.116805  0.000000
   -5.022   -2.666   -2.783
            0.000000  0.120142  0.000000
   -5.032   -2.671   -2.791
            0.000000  0.123480  0.000000
   -5.043   -2.675   -2.798
            0.000000  0.126817  0.000000
   -5.054   -2.679   -2.806
            0.000000  0.130154  0.000000
   -5.065   -2.684   -2.813
            0.000000  0.133491  0.000000
   -5.076   -2.688   -2.820
            0.000000  0.136829  0.000000
   -5.088   -2.693   -2.827
            0.000000  0.140166  0.000000
   -5.100   -2.697   -2.833
            0.000000  0.143503  0.000000
   -5.113   -2.701   -2.840
            0.000000  0.146841  0.000000
   -5.126   -2.706   -2.845
            0.000000  0.150178  0.000000
   -5.139   -2.710   -2.851
            0.000000  0.153515  0.000000
   -5.153   -2.715   -2.857
            0.000000  0.156852  0.000000
   -5.167   -2.719   -2.862
            0.000000  0.160190  0.000000
   -5.181   -2.723   -2.866
            0.000000  0.163527  0.000000
   -5.196   -2.728   -2.871
            0.000000  0.166864  0.000000
   -5.211   -2.732   -2.875
            0.000000  0.170202  0.000000
   -5.226   -2.736   -2.879
            0.000000  0.173539  0.000000
   -5.241   -2.740   -2.882
            0.000000  0.176876  0.000000
   -5.257   -2.744   -2.885
            0.000000  0.180213  0.000000
   -5.273   -2.748   -2.888
            0.000000  0.183551  0.000000
   -5.289   -2.752   -2.890
            0.000000  0.186888  0.000000
   -5.306   -2.756   -2.892
            0.000000  0.190225  0.000000
   -5.323   -2.759   -2.894
            0.000000  0.193563  0.000000
   -5.340   -2.763   -2.895
            0.000000  0.196900  0.000000
