 &plot nbnd=  13, nks=   474 /
            0.000000  0.000000  0.000000
  -19.905  -18.358  -11.446   -8.342   -7.431   -7.226   -8.342   -7.226   -4.864   -2.578
   -2.578   -2.675   -2.675
            0.000000  0.003337  0.000000
  -19.905  -18.358  -11.446   -8.343   -7.433   -7.226   -8.342   -7.225   -4.864   -2.578
   -2.579   -2.675   -2.675
            0.000000  0.006675  0.000000
  -19.904  -18.358  -11.446   -8.344   -7.436   -7.226   -8.342   -7.222   -4.865   -2.579
   -2.579   -2.676   -2.674
            0.000000  0.010012  0.000000
  -19.904  -18.357  -11.445   -8.346   -7.442   -7.227   -8.341   -7.217   -4.865   -2.579
   -2.580   -2.676   -2.673
            0.000000  0.013349  0.000000
  -19.903  -18.357  -11.444   -8.349   -7.449   -7.229   -8.341   -7.212   -4.866   -2.580
   -2.582   -2.677   -2.671
            0.000000  0.016686  0.000000
  -19.902  -18.357  -11.443   -8.352   -7.458   -7.231   -8.340   -7.205   -4.867   -2.580
   -2.584   -2.678   -2.669
            0.000000  0.020024  0.000000
  -19.901  -18.356  -11.441   -8.356   -7.469   -7.233   -8.338   -7.197   -4.868   -2.581
   -2.587   -2.679   -2.666
            0.000000  0.023361  0.000000
  -19.899  -18.356  -11.439   -8.361   -7.481   -7.235   -8.337   -7.188   -4.870   -2.582
   -2.590   -2.680   -2.662
            0.000000  0.026698  0.000000
  -19.897  -18.355  -11.437   -8.367   -7.493   -7.238   -8.335   -7.179   -4.872   -2.584
   -2.593   -2.681   -2.658
            0.000000  0.030036  0.000000
  -19.895  -18.355  -11.434   -8.374   -7.507   -7.242   -8.334   -7.170   -4.874   -2.585
   -2.597   -2.683   -2.654
            0.000000  0.033373  0.000000
  -19.893  -18.354  -11.432   -8.381   -7.521   -7.246   -8.332   -7.160   -4.876   -2.587
   -2.601   -2.685   -2.649
            0.000000  0.036710  0.000000
  -19.891  -18.353  -11.429   -8.389   -7.535   -7.250   -8.329   -7.151   -4.878   -2.588
   -2.605   -2.687   -2.643
            0.000000  0.040047  0.000000
  -19.888  -18.353  -11.425   -8.397   -7.550   -7.254   -8.327   -7.141   -4.881   -2.590
   -2.610   -2.689   -2.637
            0.000000  0.043385  0.000000
  -19.885  -18.352  -11.422   -8.407   -7.566   -7.259   -8.324   -7.131   -4.884   -2.592
   -2.616   -2.691   -2.631
            0.000000  0.046722  0.000000
  -19.882  -18.351  -11.418   -8.417   -7.582   -7.264   -8.321   -7.122   -4.887   -2.594
